fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
23,19,443141,,G,23,H,137,H,600,6,5,0,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,443142,,G,230,G,1297,G,5054,22,8,8,5,0,1,0,0,0,0,0,0,0,0,11,19
23,19,444///,,H,944,H,6414,H,26661,68,28,26,6,5,0,3,0,0,0,0,0,0,0,11,19
23,19,4441//,,H,840,H,5742,H,23805,53,23,20,2,5,0,3,0,0,0,0,0,0,0,11,19
23,19,44411/,E,D,0,D,0,D,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,11,19
23,19,444110,E,D,0,D,0,D,0,4,0,1,0,0,0,3,0,0,0,0,0,0,0,11,19
23,19,44412/,A,S,0,H,97,H,411,4,3,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,444120,A,S,0,H,97,H,411,4,3,1,0,0,0,0,0,0,0,0,0,0,0,11,19
23,19,44413/,,H,159,H,780,G,3418,21,9,9,2,1,0,0,0,0,0,0,0,0,0,11,19
23,19,444130,,H,159,H,780,G,3418,21,9,9,2,1,0,0,0,0,0,0,0,0,0,11,19
23,19,44419/,,H,200,H,1879,G,8293,24,11,9,0,4,0,0,0,0,0,0,0,0,0,11,19
23,19,444190,,H,200,H,1879,G,8293,24,11,9,0,4,0,0,0,0,0,0,0,0,0,11,19
23,19,4442//,,G,104,G,672,G,2856,15,5,6,4,0,0,0,0,0,0,0,0,0,0,11,19
23,19,44421/,,H,34,G,296,G,1291,5,2,2,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,444210,,H,34,G,296,G,1291,5,2,2,1,0,0,0,0,0,0,0,0,0,0,11,19
23,19,44422/,,H,70,H,376,H,1565,10,3,4,3,0,0,0,0,0,0,0,0,0,0,11,19
23,19,444220,,H,70,H,376,H,1565,10,3,4,3,0,0,0,0,0,0,0,0,0,0,11,19
23,19,445///,,H,1906,H,10172,H,40124,65,19,14,9,10,8,5,0,0,0,0,0,0,0,11,19
23,19,4451//,,H,1846,H,9973,H,39188,53,13,9,8,10,8,5,0,0,0,0,0,0,0,11,19
